team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Toronto Ultra,Minnesota RØKKR,3,2, El Asilo,14:54, Control,Scrappy,28,26,1.08,,Insight,24,24,1.00,,CleanX,20,31,0.65,,Standy,23,21,1.10,,Attach,28,22,1.27,,Afro,32,24,1.33,,Bance,16,25,0.64,,Cammy,26,24,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,2,5,2,5,10,6
Toronto Ultra,Minnesota RØKKR,250,190, Fortress,10:58, Hardpoint,Scrappy,25,27,0.93,89,Insight,15,24,0.63,37,CleanX,28,27,1.04,50,Standy,25,27,0.93,53,Attach,27,15,1.80,47,Afro,28,22,1.27,76,Bance,22,30,0.73,73,Cammy,28,26,1.08,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,London Royal Ravens,250,244, Fortress,11:04, Hardpoint,Priestahh,18,23,0.78,100,Skyz,26,21,1.24,40,Kismet,25,32,0.78,121,HyDra,31,25,1.24,7,Zer0,26,25,1.04,47,Nastie,30,23,1.30,36,Asim,28,26,1.08,30,PaulEhx,17,26,0.65,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,London Royal Ravens,6,2, Hotel,9:21, Search and Destroy,Priestahh,4,8,0.50,,Skyz,3,7,0.43,,Kismet,6,7,0.86,,HyDra,5,6,0.83,,Zer0,6,5,1.20,,Nastie,9,4,2.25,,Asim,8,5,1.60,,PaulEhx,5,4,1.25,,0,2,1,0,0,1,1,0,2,2,0,0,0,1,0,1,0,0,1,1,2,0,2,0,3,2,1,0,1,0,0,0,,,,,,,,
New York Subliners,London Royal Ravens,3,0, Hotel,10:06, Control,Priestahh,12,20,0.60,,Skyz,13,15,0.87,,Kismet,19,24,0.79,,HyDra,19,19,1.00,,Zer0,15,14,1.07,,Nastie,27,16,1.69,,Asim,16,17,0.94,,PaulEhx,20,16,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,0,0,4,1,3
Seattle Surge,Boston Breach,250,233, Hotel,10:24, Hardpoint,Sib,25,22,1.13,50,Accuracy,22,24,0.92,140,Mack,24,21,1.13,72,Pred,20,29,0.69,13,Vivid,20,26,0.77,64,Methodz,15,17,0.88,166,Owakening,32,23,1.39,15,Nero,29,25,1.15,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Surge,Boston Breach,6,4, Fortress,11:42, Search and Destroy,Sib,6,10,0.60,,Accuracy,3,9,0.33,,Mack,6,9,0.67,,Pred,11,6,1.83,,Vivid,8,7,1.13,,Methodz,4,6,0.67,,Owakening,12,7,1.71,,Nero,10,6,1.67,,1,1,0,0,0,1,1,0,2,0,2,0,4,1,0,0,1,2,1,0,0,4,0,0,2,1,0,0,0,0,3,0,,,,,,,,
Seattle Surge,Boston Breach,1,3, Hotel,13:02, Control,Sib,21,25,0.84,,Accuracy,25,19,1.32,,Mack,28,21,1.33,,Pred,26,28,0.93,,Vivid,30,26,1.14,,Methodz,25,18,1.39,,Owakening,11,25,0.44,,Nero,27,31,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,5,3,7,0,4
Seattle Surge,Boston Breach,250,175, Embassy,10:55, Hardpoint,Sib,28,32,0.88,14,Accuracy,15,31,0.48,54,Mack,27,22,1.23,90,Pred,25,28,0.89,20,Vivid,30,27,1.11,52,Methodz,28,23,1.22,47,Owakening,30,17,1.76,138,Nero,25,28,0.89,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,Las Vegas Legion,250,216, Embassy,11:32, Hardpoint,Vikul,26,31,0.84,58,Havok,28,26,1.08,29,MajorManiak,26,20,1.30,73,Brack,25,23,1.09,84,Temp,28,27,1.04,29,Clayster,23,27,0.85,72,TJHaly,25,20,1.25,130,Prolute,24,31,0.77,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,Las Vegas Legion,2,6, Mercado,6:40, Search and Destroy,Vikul,5,5,1.00,,Havok,10,5,2.00,,MajorManiak,8,4,2.00,,Brack,4,4,1.00,,Temp,4,6,0.67,,Clayster,5,7,0.71,,TJHaly,4,7,0.56,,Prolute,5,7,0.71,,1,1,1,0,2,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,1,0,0,0,1,0,0,,,,,,,,
Florida Mutineers,Las Vegas Legion,2,3, El Asilo,16:02, Control,Vikul,26,24,1.08,,Havok,25,25,1.00,,MajorManiak,28,21,1.33,,Brack,14,21,0.67,,Temp,30,20,1.50,,Clayster,29,25,1.15,,TJHaly,19,29,0.66,,Prolute,13,19,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,9,10,16,5,1,6,7
Florida Mutineers,Las Vegas Legion,250,237, Mercado,11:08, Hardpoint,Vikul,17,25,0.68,75,Havok,18,25,0.72,66,MajorManiak,23,15,1.53,21,Brack,28,17,1.65,108,Temp,24,20,1.20,29,Clayster,20,19,1.05,119,TJHaly,22,24,0.92,74,Prolute,16,24,0.67,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,Las Vegas Legion,5,6, Hotel,11:36, Search and Destroy,Vikul,9,7,1.29,,Havok,9,8,1.12,,MajorManiak,8,8,1.00,,Brack,6,7,0.86,,Temp,8,7,1.13,,Clayster,11,7,1.57,,TJHaly,3,9,0.33,,Prolute,8,9,0.89,,2,4,5,1,0,3,0,0,0,1,0,0,1,0,0,0,1,1,0,0,4,0,0,0,1,1,0,1,2,1,3,1,,,,,,,,
Los Angeles Guerrillas,London Royal Ravens,120,250, Hydro,9:14, Hardpoint,Spart,11,17,0.65,72,Neptune,20,22,0.91,39,Huke,15,14,1.07,151,Arcitys,23,19,1.21,23,Zer0,19,16,1.19,41,Nastie,20,20,1.00,37,Asim,15,18,0.83,40,PaulEhx,18,15,1.20,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,London Royal Ravens,6,1, Hotel,8:01, Search and Destroy,Spart,5,7,0.71,,Neptune,2,7,0.28,,Huke,4,7,0.56,,Arcitys,1,7,0.14,,Zer0,4,4,1.00,,Nastie,9,4,2.25,,Asim,7,2,3.50,,PaulEhx,8,2,4.00,,1,1,0,0,0,2,1,0,0,2,0,0,0,1,0,0,1,0,0,0,2,1,1,0,2,0,1,0,1,0,1,0,,,,,,,,
Los Angeles Guerrillas,London Royal Ravens,3,0, Hotel,9:36, Control,Spart,12,18,0.67,,Neptune,13,19,0.68,,Huke,12,18,0.67,,Arcitys,15,19,0.79,,Zer0,16,9,1.78,,Nastie,15,20,0.75,,Asim,19,10,1.90,,PaulEhx,24,14,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,1,6,8,4
Los Angeles Guerrillas,London Royal Ravens,240,250, Mercado,10:03, Hardpoint,Spart,20,20,1.00,69,Neptune,18,18,1.00,75,Huke,23,19,1.21,106,Arcitys,20,24,0.83,23,Zer0,23,16,1.44,112,Nastie,18,25,0.72,47,Asim,24,21,1.13,35,PaulEhx,16,19,0.84,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,London Royal Ravens,6,1, Fortress,11:20, Search and Destroy,Spart,5,6,0.83,,Neptune,2,6,0.33,,Huke,1,7,0.14,,Arcitys,6,7,0.86,,Zer0,3,3,1.00,,Nastie,8,5,1.60,,Asim,8,3,2.67,,PaulEhx,7,3,2.33,,0,0,0,0,0,1,2,0,1,3,0,0,1,1,0,0,0,0,2,0,3,0,0,0,2,1,0,1,0,1,0,0,,,,,,,,
Florida Mutineers,OpTic Texas,250,202, Mercado,10:45, Hardpoint,Vikul,21,23,0.91,138,Havok,14,28,0.50,37,MajorManiak,23,20,1.14,64,Brack,22,19,1.15,10,Dashy,24,17,1.41,71,Scump,21,17,1.24,112,Shotzzy,26,17,1.53,67,iLLeY,19,29,0.66,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida Mutineers,OpTic Texas,6,3, Embassy,11:34, Search and Destroy,Vikul,9,6,1.50,,Havok,4,8,0.50,,MajorManiak,5,7,0.71,,Brack,6,7,0.86,,Dashy,5,5,1.00,,Scump,11,6,1.83,,Shotzzy,3,7,0.43,,iLLeY,9,6,1.50,,3,0,3,0,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,5,1,1,0,2,0,1,,,,,,,,
Florida Mutineers,OpTic Texas,3,0, Hotel,9:56, Control,Vikul,13,17,0.76,,Havok,11,21,0.52,,MajorManiak,14,13,1.08,,Brack,20,21,0.95,,Dashy,16,12,1.33,,Scump,18,17,1.06,,Shotzzy,18,14,1.29,,iLLeY,20,15,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,7,0,4,6,3,0
Atlanta FaZe,Los Angeles Thieves,216,250, Hotel,10:38, Hardpoint,Cellium,30,14,2.14,56,Simp,19,21,0.90,100,SlasheR,20,19,1.05,90,aBeZy,29,20,1.45,51,Envoy,18,26,0.69,52,Kenny,19,29,0.66,25,Drazah,19,22,0.86,60,Octane,18,21,0.86,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,Los Angeles Thieves,6,5, Hotel,13:10, Search and Destroy,Cellium,5,8,0.63,,Simp,5,8,0.63,,SlasheR,9,7,1.29,,aBeZy,13,7,1.86,,Envoy,8,8,1.00,,Kenny,9,8,1.12,,Drazah,8,8,1.00,,Octane,5,8,0.63,,2,2,1,0,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,2,1,1,1,2,2,0,0,1,2,2,0,,,,,,,,
Atlanta FaZe,Los Angeles Thieves,2,3, Fortress,12:55, Control,Cellium,27,17,1.59,,Simp,20,28,0.71,,SlasheR,29,22,1.32,,aBeZy,29,24,1.21,,Envoy,19,31,0.61,,Kenny,20,28,0.71,,Drazah,22,24,0.92,,Octane,30,22,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,0,3,4,2,6
Atlanta FaZe,Los Angeles Thieves,250,169, Hydro,9:47, Hardpoint,Cellium,22,18,1.22,30,Simp,21,23,0.91,43,SlasheR,20,22,0.91,35,aBeZy,11,21,0.52,66,Envoy,30,19,1.58,47,Kenny,16,17,0.94,101,Drazah,19,22,0.86,62,Octane,19,16,1.19,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,Los Angeles Thieves,3,6, El Asilo,11:57, Search and Destroy,Cellium,9,4,2.25,,Simp,9,6,1.50,,SlasheR,7,4,1.75,,aBeZy,5,7,0.71,,Envoy,3,8,0.38,,Kenny,7,5,1.40,,Drazah,5,9,0.56,,Octane,6,8,0.75,,1,1,0,0,1,1,5,1,1,1,0,1,0,3,0,0,1,0,2,1,0,0,1,1,3,2,0,0,2,1,0,0,,,,,,,,
Toronto Ultra,New York Subliners,250,173, Mercado,9:58, Hardpoint,Scrappy,22,22,1.00,86,Insight,20,18,1.11,33,CleanX,21,24,0.88,13,Standy,13,23,0.56,47,Kismet,17,20,0.85,117,Priestahh,27,18,1.50,26,Skyz,17,16,1.06,71,HyDra,26,22,1.18,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,New York Subliners,3,6, Hotel,12:16, Search and Destroy,Scrappy,4,5,0.80,,Insight,8,6,1.33,,CleanX,9,7,1.29,,Standy,7,4,1.75,,Kismet,8,6,1.33,,Priestahh,3,8,0.38,,Skyz,4,8,0.50,,HyDra,7,6,1.17,,1,1,0,0,2,0,1,1,4,1,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,3,0,0,4,0,1,,,,,,,,
Toronto Ultra,New York Subliners,1,3, El Asilo,9:22, Control,Scrappy,13,11,1.18,,Insight,16,12,1.33,,CleanX,17,15,1.12,,Standy,16,12,1.33,,Kismet,14,19,0.74,,Priestahh,9,18,0.50,,Skyz,14,10,1.40,,HyDra,13,15,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,4,6,4,4,3,1
Toronto Ultra,New York Subliners,185,250, Hotel,9:38, Hardpoint,Scrappy,21,19,1.11,60,Insight,23,12,1.92,111,CleanX,17,19,0.89,87,Standy,18,17,1.06,66,Kismet,17,20,0.85,110,Priestahh,20,18,1.11,44,Skyz,12,20,0.60,29,HyDra,18,22,0.82,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
