team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Minnesota RØKKR,Atlanta FaZe,246,250, Fortress,11:54, Hardpoint,Attach,26,27,0.96,66,Afro,22,25,0.88,35,Bance,35,29,1.21,62,Cammy,27,24,1.12,100,Cellium,26,28,0.93,26,Simp,27,26,1.04,99,aBeZy,28,28,1.00,56,SlasheR,24,28,0.86,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota RØKKR,Atlanta FaZe,3,6, Hotel,11:00, Search and Destroy,Attach,4,6,0.67,,Afro,9,5,1.80,,Bance,9,4,2.25,,Cammy,6,4,1.50,,Cellium,3,7,0.43,,Simp,9,7,1.29,,aBeZy,6,8,0.75,,SlasheR,1,6,0.17,,0,0,0,0,3,3,0,0,1,1,0,0,0,1,4,0,0,0,0,0,3,0,0,0,2,2,0,0,0,2,1,0,,,,,,,,
Minnesota RØKKR,Atlanta FaZe,2,3, Fortress,12:51, Control,Attach,19,18,1.06,,Afro,31,19,1.63,,Bance,23,25,0.92,,Cammy,25,25,1.00,,Cellium,20,18,1.11,,Simp,21,27,0.78,,aBeZy,26,29,0.90,,SlasheR,20,24,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,3,3,2,0
Las Vegas Legion,London Royal Ravens,250,202, Mercado,10:32, Hardpoint,Temp,19,25,0.76,14,Clayster,14,30,0.47,46,TJHaly,16,27,0.59,41,Prolute,26,17,1.53,106,PaulEhx,25,21,1.19,21,Nastie,23,16,1.44,62,Asim,21,24,0.88,96,Skrapz,30,14,2.14,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas Legion,London Royal Ravens,2,6, Mercado,8:35, Search and Destroy,Temp,5,5,1.00,,Clayster,5,6,0.83,,TJHaly,11,4,2.75,,Prolute,2,6,0.33,,PaulEhx,4,6,0.67,,Nastie,6,6,1.00,,Asim,2,6,0.33,,Skrapz,9,5,1.80,,1,3,0,0,0,0,0,0,3,0,1,1,1,0,0,0,1,0,0,0,1,2,0,0,0,3,1,0,1,0,0,0,,,,,,,,
Las Vegas Legion,London Royal Ravens,3,1, Hotel,13:58, Control,Temp,30,21,1.43,,Clayster,16,30,0.53,,TJHaly,26,26,1.00,,Prolute,18,25,0.72,,PaulEhx,30,26,1.14,,Nastie,21,23,0.91,,Asim,24,23,1.04,,Skrapz,27,18,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,7,11,7,4,7,7
Las Vegas Legion,London Royal Ravens,250,200, Hydro,10:38, Hardpoint,Temp,25,18,1.39,35,Clayster,20,24,0.83,22,TJHaly,15,25,0.60,52,Prolute,16,22,0.73,104,PaulEhx,20,20,1.00,67,Nastie,22,18,1.22,96,Asim,18,21,0.86,55,Skrapz,29,17,1.71,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Minnesota RØKKR,163,250, Hydro,9:54, Hardpoint,Assault,21,17,1.24,111,Exceed,16,20,0.80,32,JoeDeceives,17,21,0.81,113,Arcitys,30,14,2.14,9,Attach,19,20,0.95,60,Afro,16,23,0.70,34,Bance,18,21,0.86,43,Cammy,19,20,0.95,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Minnesota RØKKR,4,6, Fortress,11:36, Search and Destroy,Assault,11,4,2.75,,Exceed,7,7,1.00,,JoeDeceives,5,7,0.71,,Arcitys,6,7,0.86,,Attach,2,7,0.28,,Afro,8,8,1.00,,Bance,10,6,1.67,,Cammy,5,8,0.63,,1,0,0,0,0,1,0,0,1,2,1,2,2,3,0,1,1,0,0,0,2,2,0,0,1,1,0,0,2,1,4,0,,,,,,,,
Los Angeles Guerrillas,Minnesota RØKKR,3,2, Hotel,15:04, Control,Assault,20,25,0.80,,Exceed,26,31,0.84,,JoeDeceives,23,25,0.92,,Arcitys,27,31,0.87,,Attach,26,25,1.04,,Afro,28,24,1.17,,Bance,29,21,1.38,,Cammy,29,26,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,4,3,3,6,9,5
Atlanta FaZe,New York Subliners,250,150, Hotel,9:58, Hardpoint,Cellium,21,20,1.05,39,Simp,11,23,0.48,105,aBeZy,24,24,1.00,41,SlasheR,18,26,0.69,18,KiSMET,21,20,1.05,140,Priestahh,29,17,1.71,35,Skyz,15,20,0.75,65,HyDra,28,17,1.65,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,New York Subliners,4,6, Fortress,9:40, Search and Destroy,Cellium,6,6,1.00,,Simp,10,6,1.67,,aBeZy,11,5,2.20,,SlasheR,6,7,0.86,,KiSMET,6,7,0.86,,Priestahh,6,8,0.75,,Skyz,6,8,0.75,,HyDra,6,10,0.60,,0,1,1,0,2,1,0,0,3,3,2,1,0,0,0,0,2,4,1,0,1,1,1,1,0,0,1,0,2,0,0,0,,,,,,,,
Atlanta FaZe,New York Subliners,2,3, Hotel,16:18, Control,Cellium,21,14,1.50,,Simp,31,30,1.03,,aBeZy,34,26,1.31,,SlasheR,25,24,1.04,,KiSMET,21,28,0.75,,Priestahh,26,28,0.93,,Skyz,25,28,0.89,,HyDra,22,27,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,5,8,9,4,2
Atlanta FaZe,New York Subliners,250,96, Hydro,9:51, Hardpoint,Cellium,13,20,0.65,12,Simp,17,23,0.74,18,aBeZy,19,21,0.90,42,SlasheR,14,25,0.56,28,KiSMET,22,17,1.29,111,Priestahh,31,11,2.82,51,Skyz,17,17,1.00,93,HyDra,19,18,1.06,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
