team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
New York Subliners,Los Angeles Guerrillas,0,3, Fortress,8:07, Control,Kismet,18,13,1.38,,Priestahh,17,13,1.31,,Skyz,19,7,2.71,,HyDra,18,13,1.38,,Spart,7,16,0.44,,Neptune,14,19,0.74,,Huke,11,19,0.57,,Arcitys,14,18,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,5,1,2,0,2,0
Toronto Ultra,Atlanta FaZe,250,229, Mercado,10:32, Hardpoint,Scrappy,24,22,1.09,72,Insight,15,16,0.94,75,CleanX,7,25,0.28,37,Standy,22,16,1.38,82,Cellium,28,18,1.56,2,Simp,18,18,1.00,54,SlasheR,19,15,1.27,46,aBeZy,14,17,0.82,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Atlanta FaZe,5,6, El Asilo,13:11, Search and Destroy,Scrappy,10,6,1.67,,Insight,4,7,0.56,,CleanX,6,8,0.75,,Standy,14,7,2.00,,Cellium,8,8,1.00,,Simp,10,8,1.25,,SlasheR,4,9,0.44,,aBeZy,6,9,0.67,,1,2,0,0,2,1,0,1,0,2,1,0,3,0,3,0,1,1,0,1,2,0,3,1,1,3,0,0,1,2,0,0,,,,,,,,
Toronto Ultra,Atlanta FaZe,0,3, El Asilo,9:33, Control,Scrappy,19,15,1.27,,Insight,13,7,1.86,,CleanX,11,13,0.85,,Standy,21,14,1.50,,Cellium,13,15,0.87,,Simp,15,15,1.00,,SlasheR,11,17,0.65,,aBeZy,10,17,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,5,3,7,1,4
Toronto Ultra,Atlanta FaZe,250,249, Hotel,10:34, Hardpoint,Scrappy,24,23,1.04,58,Insight,18,18,1.00,107,CleanX,16,24,0.67,98,Standy,22,20,1.10,53,Cellium,31,17,1.82,54,Simp,19,25,0.76,63,SlasheR,20,19,1.05,71,aBeZy,14,19,0.74,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Atlanta FaZe,2,6, Fortress,9:16, Search and Destroy,Scrappy,6,4,1.50,,Insight,7,4,1.75,,CleanX,8,4,2.00,,Standy,5,5,1.00,,Cellium,7,6,1.17,,Simp,2,8,0.25,,SlasheR,3,5,0.60,,aBeZy,5,7,0.71,,2,1,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2,3,0,0,1,0,1,2,1,0,0,,,,,,,,
Atlanta FaZe,Las Vegas Legion,207,250, Embassy,9:43, Hardpoint,Cellium,19,19,1.00,28,Simp,22,18,1.22,129,SlasheR,19,18,1.06,58,aBeZy,24,14,1.71,71,Temp,25,17,1.47,39,Clayster,16,24,0.67,17,TJHaLy,18,19,0.95,96,Prolute,10,24,0.42,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta FaZe,Las Vegas Legion,0,6, Embassy,5:46, Search and Destroy,Cellium,8,1,8.00,,Simp,3,3,1.00,,SlasheR,4,2,2.00,,aBeZy,8,1,8.00,,Temp,2,6,0.33,,Clayster,2,5,0.40,,TJHaLy,2,6,0.33,,Prolute,1,6,0.17,,2,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,2,0,0,,,,,,,,
Atlanta FaZe,Las Vegas Legion,0,3, Hotel,8:53, Control,Cellium,13,8,1.63,,Simp,19,19,1.00,,SlasheR,22,11,2.00,,aBeZy,17,13,1.31,,Temp,11,18,0.61,,Clayster,14,19,0.74,,TJHaLy,13,20,0.65,,Prolute,13,14,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,4,3,0,2,6,4
London Royal Ravens,OpTic Texas,223,250, Fortress,10:43, Hardpoint,Zer0,17,24,0.71,15,Nastie,17,20,0.85,154,Asim,38,22,1.73,15,PaulEhx,31,25,1.24,81,Scump,30,22,1.36,62,iLLeY,19,29,0.66,89,Dashy,17,24,0.71,60,Shotzzy,25,28,0.89,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
