team1,team2,team1_score,team2_score,map,time,mode,player_1,kills_1,deaths_1,kd_1,hill_time_1,player_2,kills_2,deaths_2,kd_2,hill_time_2,player_3,kills_3,deaths_3,kd_3,hill_time_3,player_4,kills_4,deaths_4,kd_4,hill_time_4,player_5,kills_5,deaths_5,kd_5,hill_time_5,player_6,kills_6,deaths_6,kd_6,hill_time_6,player_7,kills_7,deaths_7,kd_7,hill_time_7,player_8,kills_8,deaths_8,kd_8,hill_time_8,first_kill_1,first_death_1,plant_1,defuse_1,first_kill_2,first_death_2,plant_2,defuse_2,first_kill_3,first_death_3,plant_3,defuse_3,first_kill_4,first_death_4,plant_4,defuse_4,first_kill_5,first_death_5,plant_5,defuse_5,first_kill_6,first_death_6,plant_6,defuse_6,first_kill_7,first_death_7,plant_7,defuse_7,first_kill_8,first_death_8,plant_8,defuse_8,captures_1,captures_2,captures_3,captures_4,captures_5,captures_6,captures_7,captures_8
Atlanta FaZe,Seattle Surge,0,3, Hotel,8:37, Control,Cellium,9,12,0.75,,Simp,30,14,2.14,,aBeZy,19,15,1.27,,SlasheR,16,11,1.45,,Sib,14,19,0.74,,Accuracy,11,15,0.73,,Mack,12,21,0.56,,Pred,15,19,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,9,2,2,3,2
New York Subliners,Los Angeles Thieves,250,184, Fortress,9:48, Hardpoint,KiSMET,19,24,0.79,32,Priestahh,23,21,1.10,47,Skyz,10,19,0.53,108,HyDra,25,23,1.09,16,Octane,19,17,1.12,94,Drazah,25,21,1.19,61,Kenny,33,16,2.06,34,Envoy,10,23,0.43,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York Subliners,Los Angeles Thieves,5,6, El Asilo,12:28, Search and Destroy,KiSMET,6,8,0.75,,Priestahh,9,8,1.12,,Skyz,1,10,0.10,,HyDra,9,8,1.12,,Octane,6,6,1.00,,Drazah,9,6,1.50,,Kenny,12,6,2.00,,Envoy,7,7,1.00,,1,4,1,0,2,1,0,0,0,3,1,0,0,0,1,1,2,0,0,1,1,3,0,0,3,0,3,0,2,0,0,0,,,,,,,,
New York Subliners,Los Angeles Thieves,2,3, Fortress,11:47, Control,KiSMET,33,23,1.43,,Priestahh,21,24,0.88,,Skyz,20,28,0.71,,HyDra,25,25,1.00,,Octane,24,24,1.00,,Drazah,17,24,0.71,,Kenny,26,26,1.00,,Envoy,33,25,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,3,6,4,4,2
New York Subliners,Los Angeles Thieves,219,250, Embassy,11:52, Hardpoint,KiSMET,26,25,1.04,102,Priestahh,20,20,1.00,71,Skyz,30,22,1.36,71,HyDra,33,24,1.38,26,Octane,21,25,0.84,63,Drazah,27,26,1.04,91,Kenny,19,29,0.66,51,Envoy,24,29,0.83,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Florida Mutineers,165,250, Mercado,9:07, Hardpoint,Scrappy,21,11,1.91,143,Insight,20,13,1.54,73,CleanX,17,23,0.74,4,Standy,20,16,1.25,101,Vikul,18,20,0.90,58,Havok,16,22,0.73,6,MajorManiak,10,18,0.56,3,Brack,19,18,1.06,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Ultra,Florida Mutineers,6,1, El Asilo,6:57, Search and Destroy,Scrappy,5,7,0.71,,Insight,2,6,0.33,,CleanX,1,6,0.17,,Standy,3,6,0.50,,Vikul,4,4,1.00,,Havok,8,3,2.67,,MajorManiak,8,3,2.67,,Brack,5,1,5.00,,3,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,3,0,1,1,0,0,2,0,0,0,1,0,0,0,,,,,,,,
Toronto Ultra,Florida Mutineers,0,3, Fortress,6:39, Control,Scrappy,15,8,1.88,,Insight,13,11,1.18,,CleanX,15,14,1.07,,Standy,21,10,2.10,,Vikul,7,20,0.35,,Havok,9,17,0.53,,MajorManiak,15,14,1.07,,Brack,12,13,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,3,0,0,0,0,0
Toronto Ultra,Florida Mutineers,191,250, Hotel,10:01, Hardpoint,Scrappy,26,16,1.63,64,Insight,24,17,1.41,116,CleanX,17,19,0.89,73,Standy,18,21,0.86,85,Vikul,16,28,0.56,42,Havok,23,20,1.14,48,MajorManiak,21,15,1.40,88,Brack,13,22,0.59,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Breach,OpTic Texas,250,180, Hotel,9:06, Hardpoint,Vivid,18,28,0.64,35,Methodz,17,25,0.68,72,Owakening,21,18,1.17,57,Nero,16,27,0.59,41,Shotzzy,26,23,1.12,69,Scump,23,19,1.21,71,Huke,26,20,1.30,91,iLLeY,23,11,2.09,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Breach,OpTic Texas,2,6, Embassy,9:22, Search and Destroy,Vivid,7,7,1.00,,Methodz,3,5,0.60,,Owakening,5,4,1.25,,Nero,11,4,2.75,,Shotzzy,5,5,1.00,,Scump,2,7,0.28,,Huke,3,7,0.43,,iLLeY,10,7,1.43,,3,2,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,0,2,0,0,3,0,0,2,2,0,0,1,0,0,0,,,,,,,,
Boston Breach,OpTic Texas,3,1, Hotel,9:41, Control,Vivid,30,28,1.07,,27,21,1.29,Owakening,,25,0.64,Nero,22,,0.65,25,25,1.00,,Shotzzy,14,2.21,Huke,,31,1.00,iLLeY,19,,20,Game 4 ,0,0,,0.83,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methodz,16,34,Scump,20,23,0,0
Boston Breach,OpTic Texas,244,250, Embassy,12:03, Hardpoint,Vivid,25,34,0.74,51,Methodz,25,24,1.04,107,Owakening,25,21,1.19,76,Nero,36,29,1.24,61,Shotzzy,21,28,0.75,73,Scump,31,27,1.14,49,Huke,33,29,1.13,105,iLLeY,23,27,0.85,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Breach,OpTic Texas,6,3, Mercado,9:19, Search and Destroy,Vivid,13,7,1.86,,Methodz,3,7,0.43,,Owakening,6,6,1.00,,Nero,0,7,0.00,,Shotzzy,5,6,0.83,,Scump,7,6,1.17,,Huke,8,6,1.33,,iLLeY,7,4,1.75,,5,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0,2,4,0,0,1,0,1,1,,,,,,,,
Los Angeles Guerrillas,Los Angeles Thieves,153,250, Embassy,10:05, Hardpoint,Assault,23,16,1.44,75,Exceed,24,23,1.04,73,JoeDeceives,28,17,1.65,114,Arcitys,18,21,0.86,12,Octane,21,23,0.91,64,Drazah,19,21,0.90,38,Kenny,18,24,0.75,4,Envoy,19,25,0.76,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles Guerrillas,Los Angeles Thieves,4,6, El Asilo,11:58, Search and Destroy,Assault,7,5,1.40,,Exceed,9,6,1.50,,JoeDeceives,6,5,1.20,,Arcitys,9,7,1.29,,Octane,3,8,0.38,,Drazah,7,7,1.00,,Kenny,6,9,0.67,,Envoy,7,7,1.00,,0,1,0,0,3,2,0,0,1,0,5,0,1,2,0,1,0,0,0,1,2,3,0,0,1,0,2,0,2,2,2,0,,,,,,,,
Los Angeles Guerrillas,Los Angeles Thieves,3,1, Fortress,12:12, Control,Assault,18,24,0.75,,Exceed,27,32,0.84,,JoeDeceives,20,31,0.65,,Arcitys,25,26,0.96,,Octane,31,25,1.24,,Drazah,27,19,1.42,,Kenny,28,25,1.12,,Envoy,27,21,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,6,2,5,3,5
Los Angeles Guerrillas,Los Angeles Thieves,199,250, Fortress,11:22, Hardpoint,Assault,22,25,0.88,56,Exceed,24,29,0.83,63,JoeDeceives,26,29,0.90,56,Arcitys,34,17,2.00,85,Octane,19,24,0.79,35,Drazah,17,24,0.71,82,Kenny,34,29,1.17,58,Envoy,30,29,1.03,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
